成都酒店源,#genre#
宁夏卫视,http://182.150.63.29:8080/udp/239.93.0.247:5140
西藏卫视,http://182.150.63.29:8080/udp/239.93.0.175:5140
新疆卫视,http://182.150.63.29:8080/udp/239.93.0.194:5140
甘肃卫视高清,http://182.150.63.29:8080/udp/239.93.0.81:5140
海南卫视,http://182.150.63.29:8080/udp/239.93.0.80:5140
陕西农林,http://182.150.63.29:8080/udp/239.93.0.100:5140
兵团卫视,http://182.150.63.29:8080/udp/239.93.42.43:5140
峨眉电影高清,http://182.150.63.29:8080/udp/239.93.0.252:5140
厦门卫视,http://182.150.63.29:8080/udp/239.93.42.57:5140
三沙卫视,http://182.150.63.29:8080/udp/239.93.42.58:5140
山东教育卫视,http://182.150.63.29:8080/udp/239.93.1.196:5140
CDTV-2,http://182.150.63.29:8080/udp/239.93.0.17:1239
CDTV-3,http://182.150.63.29:8080/udp/239.93.0.18:1238
CDTV-4,http://182.150.63.29:8080/udp/239.93.0.19:1250
CDTV-5高清,http://182.150.63.29:8080/udp/239.93.1.231:5140
CDTV-6,http://182.150.63.29:8080/udp/239.93.0.21:1251
CDTV-8高清,http://182.150.63.29:8080/udp/239.93.0.22:1252
CETV-2,http://182.150.63.29:8080/udp/239.93.0.113:5140
CETV-4,http://182.150.63.29:8080/udp/239.93.0.50:5140
经典电影,http://182.150.63.29:8080/udp/239.93.0.57:9024
华语影院,http://182.150.63.29:8080/udp/239.93.0.138:5140
星光院线,http://182.150.63.29:8080/udp/239.93.0.139:5140
全球大片,http://182.150.63.29:8080/udp/239.93.0.105:5140
热播剧场,http://182.150.63.29:8080/udp/239.93.0.56:9020
热门剧场,http://182.150.63.29:8080/udp/239.93.0.140:5140
港剧风云,http://182.150.63.29:8080/udp/239.93.0.143:5140
谍战剧场,http://182.150.63.29:8080/udp/239.93.0.95:5140
卡酷动画,http://182.150.63.29:8080/udp/239.93.0.208:5140
金鹰卡通,http://182.150.63.29:8080/udp/239.93.0.108:5140
优漫卡通,http://182.150.63.29:8080/udp/239.93.0.251:5140
宝宝动画高清,http://182.150.63.29:8080/udp/239.93.0.147:5140
少儿动画高清,http://182.150.63.29:8080/udp/239.93.0.193:9000
青春动漫,http://182.150.63.29:8080/udp/239.93.0.146:5140
热门综艺高清,http://182.150.63.29:8080/udp/239.93.0.151:5140
音乐现场高清,http://182.150.63.29:8080/udp/239.93.0.198:9044
戏曲,http://182.150.63.29:8080/udp/239.93.0.144:5140
戏曲,http://182.150.63.29:8080/udp/239.93.0.217:9208
纪实人文,http://182.150.63.29:8080/udp/239.93.1.154:5140
墨宝高清,http://182.150.63.29:8080/udp/239.93.0.215:9132
军事高清,http://182.150.63.29:8080/udp/239.93.0.204:9076
解密高清,http://182.150.63.29:8080/udp/239.93.0.199:9048
地理高清,http://182.150.63.29:8080/udp/239.93.0.200:9052
传奇,http://182.150.63.29:8080/udp/239.93.0.235:1282
爱怀旧高清,http://182.150.63.29:8080/udp/239.93.42.21:5140
爱喜剧高清,http://182.150.63.29:8080/udp/239.93.42.9:5140
爱奇谈高清,http://182.150.63.29:8080/udp/239.93.42.22:5140
爱科幻高清,http://182.150.63.29:8080/udp/239.93.42.10:5140
爱院线高清,http://182.150.63.29:8080/udp/239.93.42.11:5140
都市剧场,http://182.150.63.29:8080/udp/239.93.42.30:5140
爱谍战高清,http://182.150.63.29:8080/udp/239.93.42.14:5140
爱经典高清,http://182.150.63.29:8080/udp/239.93.42.13:5140
爱悬疑高清,http://182.150.63.29:8080/udp/239.93.42.12:5140
爱青春高清,http://182.150.63.29:8080/udp/239.93.42.16:5140
爱都市高清,http://182.150.63.29:8080/udp/239.93.42.15:5140
CCTV-1高清,http://182.150.118.66:50443/hls/1/index.m3u8
CCTV-2高清,http://182.150.118.66:50443/hls/2/index.m3u8
CCTV-3高清,http://182.150.118.66:50443/hls/3/index.m3u8
CCTV-4高清,http://182.150.118.66:50443/hls/4/index.m3u8
CCTV-5高清,http://182.150.118.66:50443/hls/5/index.m3u8
CCTV-6高清,http://182.150.118.66:50443/hls/6/index.m3u8
CCTV-7高清,http://182.150.118.66:50443/hls/7/index.m3u8
CCTV-8高清,http://182.150.118.66:50443/hls/8/index.m3u8
CCTV-9高清,http://182.150.118.66:50443/hls/9/index.m3u8
CCTV-10高清,http://182.150.118.66:50443/hls/10/index.m3u8
CCTV-11高清,http://182.150.118.66:50443/hls/11/index.m3u8
CCTV-12高清,http://182.150.118.66:50443/hls/12/index.m3u8
CCTV-13高清,http://182.150.118.66:50443/hls/13/index.m3u8
CCTV-少儿高清,http://182.150.118.66:50443/hls/14/index.m3u8
CCTV-15高清,http://182.150.118.66:50443/hls/15/index.m3u8
CCTV-16高清,http://182.150.118.66:50443/hls/16/index.m3u8
CCTV-17高清,http://182.150.118.66:50443/hls/17/index.m3u8
四川卫视高清,http://182.150.118.66:50443/hls/19/index.m3u8
SCTV-2高清,http://182.150.118.66:50443/hls/30/index.m3u8
SCTV-3高清,http://182.150.118.66:50443/hls/31/index.m3u8
SCTV-4高清,http://182.150.118.66:50443/hls/32/index.m3u8
SCTV-5高清,http://182.150.118.66:50443/hls/33/index.m3u8
SCTV-6高清,http://182.150.118.66:50443/hls/34/index.m3u8
SCTV-7高清,http://182.150.118.66:50443/hls/35/index.m3u8
SCTV-科教高清,http://182.150.118.66:50443/hls/36/index.m3u8

四川乡村高清,http://182.150.118.66:50443/hls/37/index.m3u8
康巴卫视高清,http://182.150.118.66:50443/hls/38/index.m3u8
家乡代言-四川,http://182.150.118.66:50443/hls/18/index.m3u8
熊猫新闻高清,http://182.150.118.66:50443/hls/77/index.m3u8
CDTV-2,http://182.150.118.66:50443/hls/67/index.m3u8
CDTV-3,http://182.150.118.66:50443/hls/68/index.m3u8
CDTV-4,http://182.150.118.66:50443/hls/69/index.m3u8
CDTV-5高清,http://182.150.118.66:50443/hls/70/index.m3u8
CDTV-6,http://182.150.118.66:50443/hls/71/index.m3u8
CDTV-8高清,http://182.150.118.66:50443/hls/72/index.m3u8
1·1
浙江卫视,http://182.150.118.66:50443/hls/23/index.m3u8
东方卫视,http://182.150.118.66:50443/hls/24/index.m3u8
北京卫视,http://182.150.118.66:50443/hls/25/index.m3u8
深圳卫视,http://182.150.118.66:50443/hls/26/index.m3u8
广东卫视,http://182.150.118.66:50443/hls/27/index.m3u8
天津卫视,http://182.150.118.66:50443/hls/28/index.m3u8
山东卫视,http://182.150.118.66:50443/hls/29/index.m3u8
康巴卫视,http://182.150.118.66:50443/hls/38/index.m3u8
江西卫视,http://182.150.118.66:50443/hls/39/index.m3u8
东南卫视,http://182.150.118.66:50443/hls/40/index.m3u8
黑龙江卫视,http://182.150.118.66:50443/hls/41/index.m3u8
重庆卫视,http://182.150.118.66:50443/hls/42/index.m3u8
湖北卫视,http://182.150.118.66:50443/hls/44/index.m3u8
安徽卫视,http://182.150.118.66:50443/hls/45/index.m3u8
河北卫视,http://182.150.118.66:50443/hls/46/index.m3u8
辽宁卫视,http://182.150.118.66:50443/hls/47/index.m3u8
河南卫视,http://182.150.118.66:50443/hls/48/index.m3u8
广西卫视,http://182.150.118.66:50443/hls/49/index.m3u8
云南卫视,http://182.150.118.66:50443/hls/50/index.m3u8
吉林卫视,http://182.150.118.66:50443/hls/51/index.m3u8

陕西卫视,http://182.150.118.66:50443/hls/52/index.m3u8
山西卫视,http://182.150.118.66:50443/hls/53/index.m3u8
内蒙古卫视,http://182.150.118.66:50443/hls/54/index.m3u8
青海卫视,http://182.150.118.66:50443/hls/55/index.m3u8
宁夏卫视,http://182.150.118.66:50443/hls/56/index.m3u8
西藏卫视,http://182.150.118.66:50443/hls/57/index.m3u8
新疆卫视,http://182.150.118.66:50443/hls/58/index.m3u8
甘肃卫视,http://182.150.118.66:50443/hls/59/index.m3u8
海南卫视,http://182.150.118.66:50443/hls/60/index.m3u8
陕西农林,http://182.150.118.66:50443/hls/61/index.m3u8
兵团卫视,http://182.150.118.66:50443/hls/62/index.m3u8
厦门卫视,http://182.150.118.66:50443/hls/64/index.m3u8
三沙卫视,http://182.150.118.66:50443/hls/65/index.m3u8
山东教育卫视,http://182.150.118.66:50443/hls/66/index.m3u8
峨眉电影,http://182.150.118.66:50443/hls/63/index.m3u8
金熊猫卡通,http://182.150.118.66:50443/hls/84/index.m3u8
经典电影,http://182.150.118.66:50443/hls/98/index.m3u8
星光院线,http://182.150.118.66:50443/hls/100/index.m3u8
全球大片,http://182.150.118.66:50443/hls/101/index.m3u8
热门剧场,http://182.150.118.66:50443/hls/103/index.m3u8
深圳卫视,http://182.150.23.74:808/hls/20/index.m3u8
湖南卫视,http://182.150.23.74:808/hls/21/index.m3u8
浙江卫视,http://182.150.23.74:808/hls/22/index.m3u8
山东卫视,http://182.150.23.74:808/hls/23/index.m3u8
东南卫视,http://182.150.23.74:808/hls/24/index.m3u8
安徽卫视,http://182.150.23.74:808/hls/25/index.m3u8
贵州卫视,http://182.150.23.74:808/hls/26/index.m3u8
天津卫视,http://182.150.23.74:808/hls/27/index.m3u8
